"income","marryY","sesF"
13.475,1,"m"
0.98,0,"l"
22.05,0,"m"
1.715,0,"l"
15.925,1,"m"
40.425,0,"h"
49,1,"h"
40.425,0,"h"
3.185,0,"l"
1.715,1,"l"
0.245,0,"l"
10.4125,0,"l"
1.715,0,"l"
15.925,0,"m"
7.9625,0,"l"
1.715,0,"l"
6.7375,0,"l"
22.05,1,"m"
33.075,1,"h"
58.8,1,"h"
5.5125,0,"l"
40.425,0,"h"
10.4125,0,"l"
7.9625,0,"l"
15.925,1,"m"
3.185,0,"l"
1.715,1,"l"
5.5125,0,"l"
13.475,0,"m"
0.245,0,"l"
0.245,0,"l"
13.475,1,"m"
26.95,0,"h"
5.5125,0,"l"
2.695,1,"l"
18.375,1,"m"
11.6375,1,"l"
18.375,1,"m"
18.375,1,"m"
15.925,0,"m"
9.1875,0,"l"
13.475,1,"m"
10.4125,0,"l"
49,1,"h"
26.95,1,"h"
33.075,0,"h"
11.6375,1,"l"
1.715,0,"l"
26.95,1,"h"
3.675,0,"l"
10.4125,1,"l"
6.7375,0,"l"
49,1,"h"
68.6,1,"h"
6.7375,0,"l"
26.95,1,"h"
13.475,1,"m"
22.05,0,"m"
9.1875,0,"l"
0.98,1,"l"
40.425,0,"h"
6.7375,1,"l"
0.245,1,"l"
26.95,0,"h"
3.675,0,"l"
3.185,0,"l"
5.5125,0,"l"
15.925,0,"m"
3.675,0,"l"
2.205,0,"l"
15.925,1,"m"
18.375,1,"m"
15.925,1,"m"
6.7375,0,"l"
18.375,0,"m"
26.95,0,"h"
7.9625,0,"l"
10.4125,0,"l"
1.715,0,"l"
1.715,0,"l"
7.9625,1,"l"
3.185,0,"l"
0.98,0,"l"
0.98,0,"l"
13.475,0,"m"
2.205,1,"l"
1.715,0,"l"
6.7375,0,"l"
18.375,1,"m"
18.375,0,"m"
13.475,0,"m"
9.1875,0,"l"
5.5125,1,"l"
13.475,1,"m"
5.5125,1,"l"
9.1875,0,"l"
10.4125,1,"l"
13.475,1,"m"
26.95,0,"h"
3.675,0,"l"
18.375,0,"m"
6.7375,0,"l"
5.5125,1,"l"
10.4125,1,"l"
4.41,0,"l"
49,0,"h"
22.05,0,"m"
18.375,1,"m"
13.475,1,"m"
13.475,1,"m"
22.05,1,"m"
22.05,1,"m"
13.475,0,"m"
6.7375,0,"l"
0.98,0,"l"
6.7375,0,"l"
10.4125,0,"l"
5.5125,0,"l"
11.6375,0,"l"
0.245,1,"l"
3.675,0,"l"
11.6375,0,"l"
6.7375,1,"l"
10.4125,0,"l"
26.95,1,"h"
11.6375,1,"l"
10.4125,1,"l"
11.6375,1,"l"
15.925,0,"m"
11.6375,0,"l"
22.05,0,"m"
22.05,1,"m"
10.4125,1,"l"
0.245,0,"l"
5.5125,1,"l"
68.6,1,"h"
7.9625,0,"l"
7.9625,0,"l"
5.5125,0,"l"
26.95,1,"h"
5.5125,0,"l"
3.675,0,"l"
13.475,1,"m"
40.425,1,"h"
22.05,0,"m"
15.925,1,"m"
33.075,1,"h"
0.245,0,"l"
18.375,0,"m"
3.185,1,"l"
5.5125,0,"l"
18.375,0,"m"
40.425,1,"h"
15.925,0,"m"
40.425,1,"h"
9.1875,1,"l"
2.695,0,"l"
33.075,0,"h"
11.6375,0,"l"
22.05,0,"m"
3.185,0,"l"
5.5125,0,"l"
33.075,0,"h"
33.075,1,"h"
22.05,0,"m"
18.375,0,"m"
13.475,0,"m"
22.05,1,"m"
26.95,0,"h"
9.1875,0,"l"
7.9625,1,"l"
18.375,0,"m"
58.8,1,"h"
5.5125,0,"l"
1.715,1,"l"
18.375,0,"m"
15.925,0,"m"
10.4125,1,"l"
5.5125,0,"l"
0.98,0,"l"
26.95,1,"h"
0.245,1,"l"
6.7375,0,"l"
22.05,1,"m"
7.9625,1,"l"
3.675,1,"l"
33.075,1,"h"
11.6375,0,"l"
2.695,1,"l"
26.95,1,"h"
11.6375,0,"l"
18.375,0,"m"
26.95,0,"h"
13.475,0,"m"
18.375,1,"m"
0.245,0,"l"
7.9625,0,"l"
18.375,1,"m"
18.375,1,"m"
0.98,0,"l"
15.925,1,"m"
13.475,1,"m"
15.925,0,"m"
13.475,1,"m"
5.5125,0,"l"
33.075,1,"h"
22.05,1,"m"
3.675,0,"l"
15.925,0,"m"
58.8,0,"h"
5.5125,0,"l"
22.05,1,"m"
22.05,0,"m"
13.475,1,"m"
49,1,"h"
33.075,0,"h"
33.075,1,"h"
22.05,1,"m"
9.1875,0,"l"
6.7375,0,"l"
6.7375,0,"l"
33.075,1,"h"
15.925,1,"m"
10.4125,0,"l"
33.075,1,"h"
0.98,0,"l"
22.05,0,"m"
13.475,1,"m"
26.95,1,"h"
22.05,0,"m"
49,1,"h"
3.185,1,"l"
15.925,1,"m"
10.4125,1,"l"
11.6375,1,"l"
11.6375,1,"l"
11.6375,1,"l"
5.5125,0,"l"
18.375,0,"m"
13.475,1,"m"
22.05,1,"m"
5.5125,0,"l"
22.05,1,"m"
7.9625,0,"l"
49,0,"h"
22.05,0,"m"
26.95,1,"h"
7.9625,0,"l"
13.475,0,"m"
15.925,0,"m"
15.925,1,"m"
22.05,1,"m"
40.425,1,"h"
6.7375,0,"l"
10.4125,0,"l"
58.8,0,"h"
6.7375,1,"l"
22.05,0,"m"
33.075,0,"h"
22.05,1,"m"
13.475,0,"m"
9.1875,0,"l"
15.925,0,"m"
1.715,0,"l"
13.475,0,"m"
18.375,1,"m"
22.05,1,"m"
1.715,0,"l"
3.675,1,"l"
4.41,0,"l"
13.475,1,"m"
5.5125,0,"l"
6.7375,1,"l"
11.6375,1,"l"
6.7375,0,"l"
7.9625,0,"l"
40.425,0,"h"
58.8,1,"h"
0.98,0,"l"
1.715,0,"l"
33.075,0,"h"
40.425,1,"h"
18.375,0,"m"
22.05,0,"m"
13.475,0,"m"
18.375,1,"m"
0.98,1,"l"
22.05,1,"m"
22.05,1,"m"
22.05,1,"m"
15.925,0,"m"
10.4125,0,"l"
6.7375,0,"l"
11.6375,1,"l"
2.695,1,"l"
0.98,0,"l"
13.475,1,"m"
33.075,1,"h"
15.925,1,"m"
2.205,0,"l"
0.98,0,"l"
10.4125,0,"l"
6.7375,0,"l"
6.7375,0,"l"
26.95,1,"h"
18.375,1,"m"
18.375,0,"m"
26.95,1,"h"
3.675,0,"l"
9.1875,1,"l"
10.4125,1,"l"
10.4125,0,"l"
5.5125,0,"l"
13.475,1,"m"
4.41,0,"l"
5.5125,0,"l"
22.05,0,"m"
6.7375,0,"l"
10.4125,0,"l"
18.375,1,"m"
13.475,0,"m"
3.185,0,"l"
15.925,1,"m"
15.925,0,"m"
4.41,0,"l"
2.695,0,"l"
11.6375,0,"l"
22.05,1,"m"
0.98,0,"l"
5.5125,0,"l"
13.475,1,"m"
13.475,1,"m"
11.6375,1,"l"
0.245,1,"l"
40.425,1,"h"
7.9625,1,"l"
22.05,1,"m"
49,0,"h"
18.375,0,"m"
33.075,1,"h"
6.7375,0,"l"
6.7375,1,"l"
33.075,0,"h"
22.05,0,"m"
13.475,1,"m"
11.6375,0,"l"
7.9625,0,"l"
9.1875,1,"l"
11.6375,0,"l"
0.98,0,"l"
9.1875,0,"l"
4.41,0,"l"
9.1875,1,"l"
22.05,1,"m"
4.41,1,"l"
15.925,1,"m"
9.1875,1,"l"
33.075,0,"h"
33.075,1,"h"
1.715,1,"l"
7.9625,0,"l"
15.925,1,"m"
7.9625,0,"l"
33.075,0,"h"
13.475,0,"m"
6.7375,1,"l"
22.05,0,"m"
40.425,1,"h"
18.375,0,"m"
13.475,0,"m"
13.475,1,"m"
0.245,0,"l"
22.05,1,"m"
2.205,1,"l"
22.05,1,"m"
2.205,0,"l"
5.5125,0,"l"
15.925,1,"m"
4.41,0,"l"
7.9625,0,"l"
15.925,1,"m"
9.1875,0,"l"
6.7375,0,"l"
26.95,0,"h"
26.95,1,"h"
11.6375,0,"l"
26.95,1,"h"
